Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h)
13,"[31.0, 23.6, 17.0]","[18.0, 16.1, 14.0]","[90.0, 66.4, 36.0]","[15.0, 5.4, 0.0]"
14,"[32.0, 24.9, 18.0]","[21.0, 18.1, 16.0]","[94.0, 70.6, 37.0]","[11.0, 3.9, 0.0]"
15,"[33.0, 27.1, 19.0]","[21.0, 18.9, 16.0]","[92.0, 64.0, 35.0]","[13.0, 3.8, 0.0]"
16,"[34.0, 27.6, 23.0]","[21.0, 18.6, 15.0]","[88.0, 61.0, 31.0]","[24.0, 10.6, 0.0]"
17,"[34.0, 27.8, 21.0]","[23.0, 20.1, 18.0]","[88.0, 66.9, 38.0]","[7.0, 3.5, 0.0]"
18,"[34.0, 27.5, 22.0]","[22.0, 20.8, 20.0]","[91.0, 68.9, 44.0]","[15.0, 5.5, 0.0]"
19,"[36.0, 28.1, 20.0]","[23.0, 20.9, 19.0]","[95.0, 68.0, 39.0]","[11.0, 3.4, 0.0]"
20,"[37.0, 28.3, 22.0]","[22.0, 16.8, 11.0]","[91.0, 57.4, 20.0]","[11.0, 4.1, 0.0]"
21,"[36.0, 27.9, 21.0]","[22.0, 18.6, 13.0]","[86.0, 61.0, 28.0]","[11.0, 5.3, 0.0]"
22,"[34.0, 27.6, 23.0]","[18.0, 15.8, 11.0]","[73.0, 52.1, 24.0]","[17.0, 8.9, 0.0]"
23,"[35.0, 27.3, 19.0]","[18.0, 15.8, 11.0]","[83.0, 52.9, 24.0]","[11.0, 4.9, 0.0]"
24,"[35.0, 26.9, 22.0]","[19.0, 15.0, 9.0]","[80.0, 54.9, 21.0]","[20.0, 5.3, 0.0]"
25,"[34.0, 26.4, 20.0]","[18.0, 15.6, 11.0]","[89.0, 57.1, 23.0]","[15.0, 9.3, 4.0]"
26,"[34.0, 27.4, 20.0]","[17.0, 13.0, 9.0]","[83.0, 46.5, 22.0]","[22.0, 12.8, 6.0]"
27,"[36.0, 28.1, 21.0]","[17.0, 13.6, 9.0]","[68.0, 44.9, 21.0]","[15.0, 6.5, 0.0]"
28,"[38.0, 28.5, 21.0]","[17.0, 14.1, 8.0]","[77.0, 48.5, 16.0]","[15.0, 4.6, 0.0]"
29,"[38.0, 28.1, 19.0]","[17.0, 13.3, 7.0]","[79.0, 47.1, 14.0]","[13.0, 4.5, 0.0]"
30,"[38.0, 28.5, 20.0]","[18.0, 15.6, 9.0]","[78.0, 52.1, 17.0]","[11.0, 3.0, 0.0]"
31,"[38.0, 30.3, 21.0]","[19.0, 16.7, 14.0]","[80.0, 49.0, 28.0]","[15.0, 5.0, 0.0]"
 Apr ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]"
1,"[36.0, 27.9, 22.0]","[18.0, 12.6, 7.0]","[70.0, 43.9, 17.0]","[13.0, 5.6, 0.0]"
2,"[38.0, 28.0, 18.0]","[18.0, 13.8, 8.0]","[70.0, 47.0, 18.0]","[11.0, 3.0, 0.0]"
3,"[38.0, 28.3, 20.0]","[16.0, 12.5, 6.0]","[69.0, 44.6, 13.0]","[7.0, 4.0, 0.0]"
4,"[37.0, 28.4, 20.0]","[16.0, 12.1, 9.0]","[66.0, 41.9, 18.0]","[17.0, 6.5, 0.0]"
5,"[38.0, 28.5, 19.0]","[15.0, 11.8, 6.0]","[72.0, 41.5, 15.0]","[15.0, 5.0, 0.0]"
6,"[38.0, 28.8, 20.0]","[16.0, 12.3, 8.0]","[71.0, 41.9, 15.0]","[15.0, 5.0, 0.0]"
7,"[39.0, 29.5, 20.0]","[17.0, 13.0, 9.0]","[67.0, 42.5, 16.0]","[15.0, 4.6, 0.0]"
8,"[41.0, 30.4, 21.0]","[17.0, 12.8, 8.0]","[65.0, 41.1, 14.0]","[11.0, 4.6, 0.0]"
9,"[41.0, 31.0, 21.0]","[17.0, 13.1, 7.0]","[70.0, 39.9, 13.0]","[13.0, 3.8, 0.0]"
10,"[41.0, 31.8, 24.0]","[20.0, 14.6, 9.0]","[71.0, 40.5, 15.0]","[11.0, 3.6, 0.0]"
11,"[42.0, 31.5, 23.0]","[18.0, 14.5, 10.0]","[67.0, 41.1, 15.0]","[15.0, 5.8, 0.0]"
12,"[38.0, 30.4, 23.0]","[19.0, 14.5, 8.0]","[72.0, 43.1, 20.0]","[15.0, 4.6, 0.0]"
13,"[40.0, 31.1, 22.0]","[19.0, 15.0, 9.0]","[76.0, 42.5, 16.0]","[15.0, 6.0, 0.0]"
14,"[38.0, 31.4, 27.0]","[15.0, 13.3, 11.0]","[48.0, 35.0, 19.0]","[17.0, 10.1, 0.0]"
15,"[38.0, 30.9, 25.0]","[18.0, 15.8, 13.0]","[63.0, 43.1, 23.0]","[7.0, 3.1, 0.0]"
16,"[39.0, 30.6, 23.0]","[18.0, 15.5, 12.0]","[70.0, 44.3, 21.0]","[9.0, 2.9, 0.0]"
17,"[40.0, 31.6, 23.0]","[18.0, 15.9, 13.0]","[67.0, 42.1, 20.0]","[9.0, 4.1, 0.0]"
18,"[41.0, 31.9, 23.0]","[20.0, 16.5, 12.0]","[73.0, 45.1, 18.0]","[7.0, 2.5, 0.0]"
19,"[42.0, 32.5, 24.0]","[18.0, 14.1, 9.0]","[69.0, 37.9, 14.0]","[15.0, 8.0, 0.0]"
20,"[41.0, 32.9, 27.0]","[16.0, 14.0, 10.0]","[48.0, 34.0, 16.0]","[17.0, 7.1, 0.0]"
21,"[34.0, 29.9, 25.0]","[17.0, 14.4, 10.0]","[58.0, 41.0, 23.0]","[15.0, 7.0, 0.0]"
22,"[38.0, 30.0, 24.0]","[18.0, 15.6, 13.0]","[63.0, 44.9, 24.0]","[7.0, 2.9, 0.0]"
23,"[38.0, 29.9, 21.0]","[17.0, 13.9, 9.0]","[67.0, 41.9, 17.0]","[13.0, 4.3, 0.0]"
24,"[38.0, 31.5, 23.0]","[15.0, 11.6, 7.0]","[62.0, 32.9, 15.0]","[19.0, 10.4, 0.0]"
25,"[40.0, 31.9, 23.0]","[14.0, 12.9, 11.0]","[58.0, 33.8, 18.0]","[19.0, 11.4, 6.0]"
26,"[39.0, 31.6, 24.0]","[18.0, 14.5, 11.0]","[64.0, 38.8, 18.0]","[7.0, 3.6, 0.0]"
27,"[41.0, 31.9, 23.0]","[17.0, 13.8, 8.0]","[68.0, 38.9, 14.0]","[15.0, 5.4, 0.0]"
28,"[43.0, 32.6, 22.0]","[20.0, 16.1, 12.0]","[72.0, 42.3, 16.0]","[15.0, 5.4, 0.0]"
29,"[43.0, 34.1, 27.0]","[17.0, 12.4, 8.0]","[48.0, 30.4, 12.0]","[15.0, 6.6, 0.0]"
30,"[43.0, 34.7, 26.0]","[18.0, 13.3, 9.0]","[56.0, 32.0, 13.0]","[11.0, 5.4, 0.0]"
 May ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]"
1,"[39.0, 33.0, 28.0]","[23.0, 19.0, 13.0]","[62.0, 44.3, 35.0]","[11.0, 8.4, 6.0]"
2,"[39.0, 33.4, 28.0]","[22.0, 21.5, 19.0]","[68.0, 51.4, 31.0]","[11.0, 8.9, 6.0]"
3,"[37.0, 32.9, 29.0]","[23.0, 22.3, 20.0]","[68.0, 54.6, 37.0]","[7.0, 6.0, 4.0]"
4,"[37.0, 29.8, 23.0]","[24.0, 20.9, 18.0]","[78.0, 59.4, 37.0]","[15.0, 10.5, 7.0]"
5,"[36.0, 29.6, 23.0]","[22.0, 20.3, 19.0]","[81.0, 59.8, 38.0]","[9.0, 4.8, 0.0]"
6,"[38.0, 31.9, 25.0]","[22.0, 19.5, 17.0]","[80.0, 49.5, 36.0]","[19.0, 4.0, 0.0]"
7,"[39.0, 31.8, 27.0]","[21.0, 19.8, 17.0]","[70.0, 52.1, 28.0]","[11.0, 3.3, 0.0]"
8,"[39.0, 34.3, 29.0]","[23.0, 21.3, 20.0]","[61.0, 48.0, 32.0]","[11.0, 8.2, 6.0]"
9,"[39.0, 33.3, 28.0]","[23.0, 22.1, 22.0]","[69.0, 52.8, 36.0]","[17.0, 8.0, 0.0]"
10,"[39.0, 33.8, 29.0]","[24.0, 22.6, 22.0]","[63.0, 52.9, 37.0]","[11.0, 7.9, 0.0]"
11,"[40.0, 34.4, 29.0]","[24.0, 23.1, 22.0]","[67.0, 53.3, 39.0]","[7.0, 6.5, 4.0]"
12,"[41.0, 35.9, 30.0]","[24.0, 22.7, 21.0]","[69.0, 48.6, 31.0]","[11.0, 7.9, 6.0]"
13,"[41.0, 33.4, 25.0]","[25.0, 22.9, 20.0]","[98.0, 58.4, 29.0]","[9.0, 5.3, 0.0]"
14,"[43.0, 37.0, 25.0]","[26.0, 17.3, 11.0]","[62.0, 24.7, 0.0]","[19.0, 5.9, 0.0]"
15,"[45.0, 35.9, 27.0]","[22.0, 17.0, 10.0]","[58.0, 36.9, 12.0]","[20.0, 6.1, 0.0]"
16,"[41.0, 36.7, 31.0]","[19.0, 12.7, 8.0]","[51.0, 26.1, 15.0]","[19.0, 13.3, 0.0]"
17,"[40.0, 34.8, 28.0]","[21.0, 19.2, 17.0]","[57.0, 41.5, 26.0]","[9.0, 7.3, 7.0]"
18,"[39.0, 34.8, 30.0]","[21.0, 17.6, 12.0]","[49.0, 37.0, 26.0]","[15.0, 8.9, 6.0]"
19,"[42.0, 35.1, 28.0]","[23.0, 20.5, 15.0]","[65.0, 45.4, 21.0]","[13.0, 3.9, 0.0]"
20,"[44.0, 36.5, 29.0]","[24.0, 17.6, 12.0]","[71.0, 38.1, 15.0]","[11.0, 7.5, 0.0]"
21,"[42.0, 33.4, 25.0]","[20.0, 16.1, 12.0]","[75.0, 40.3, 20.0]","[28.0, 11.8, 6.0]"
22,"[38.0, 32.4, 24.0]","[20.0, 18.4, 16.0]","[77.0, 45.4, 30.0]","[15.0, 7.9, 0.0]"
23,"[30.0, 24.1, 18.0]","[21.0, 19.4, 17.0]","[98.0, 77.3, 53.0]","[26.0, 15.0, 9.0]"
24,"[31.0, 26.5, 19.0]","[22.0, 20.9, 18.0]","[94.0, 72.4, 55.0]","[9.0, 5.6, 0.0]"
25,"[33.0, 28.3, 24.0]","[23.0, 21.5, 19.0]","[91.0, 67.5, 44.0]","[9.0, 4.1, 0.0]"
26,"[36.0, 30.6, 23.0]","[22.0, 21.1, 18.0]","[90.0, 58.6, 36.0]","[7.0, 3.3, 0.0]"
27,"[38.0, 31.6, 26.0]","[23.0, 19.9, 17.0]","[78.0, 52.0, 34.0]","[22.0, 9.1, 0.0]"
28,"[39.0, 34.6, 28.0]","[25.0, 22.3, 19.0]","[64.0, 49.5, 36.0]","[7.0, 6.5, 6.0]"
29,"[40.0, 33.3, 29.0]","[26.0, 21.3, 19.0]","[65.0, 50.6, 31.0]","[15.0, 8.9, 4.0]"
30,"[39.0, 28.5, 23.0]","[24.0, 23.0, 22.0]","[100.0, 75.8, 39.0]","[15.0, 6.3, 0.0]"
31,"[38.0, 33.1, 26.0]","[24.0, 22.3, 20.0]","[83.0, 55.6, 34.0]","[7.0, 3.0, 0.0]"
 Jun ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]"
1,"[41.0, 34.4, 26.0]","[24.0, 17.9, 14.0]","[89.0, 41.4, 21.0]","[11.0, 5.8, 0.0]"
2,"[41.0, 34.4, 28.0]","[22.0, 19.3, 16.0]","[61.0, 43.0, 23.0]","[7.0, 3.0, 0.0]"
3,"[42.0, 35.4, 26.0]","[21.0, 15.3, 7.0]","[65.0, 34.6, 12.0]","[15.0, 5.4, 0.0]"
4,"[43.0, 35.0, 29.0]","[21.0, 15.6, 8.0]","[60.0, 36.8, 12.0]","[17.0, 4.9, 0.0]"
